text,emotion
My body feels tense and sore.,stress
I snap at people without meaning to.,stress
I feel like I’m in a constant state of urgency.,stress
I can't catch a break these days.,stress
Every day feels packed with obligations.,stress
I keep missing important deadlines.,stress
I feel like I’m running on empty.,stress
I’m overwhelmed by the expectations on me.,stress
My thoughts feel cluttered and chaotic.,stress
I rarely feel fully at ease anymore.,stress
The stress is getting harder to hide.,stress
I can’t seem to finish my to-do list.,stress
My head feels like it's about to explode.,stress
I barely get any time for myself.,stress
I feel trapped by my busy schedule.,stress
I have trouble relaxing even on weekends.,stress
The pressure makes me restless.,stress
My nerves feel constantly frayed.,stress
I feel like I’m living on autopilot.,stress
I find myself grinding my teeth from tension.,stress
I’m always rushing from one place to another.,stress
My mind races with unfinished tasks.,stress
I can't seem to unwind at night.,stress
I’m overwhelmed even thinking about tomorrow.,stress
I don’t see the point of living anymore.,suicidal
The world would be better off without me.,suicidal
I often wonder if anyone would miss me.,suicidal
I feel like ending my life would end the pain.,suicidal
Sometimes I wish I wouldn’t wake up.,suicidal
I can’t handle this life any longer.,suicidal
Ending it all feels like the only escape.,suicidal
I feel like giving up on everything.,suicidal
I feel like I'm trapped in endless pain.,suicidal
No one would care if I disappeared.,suicidal
I wish I could just vanish forever.,suicidal
I’ve been thinking about ending my life.,suicidal
I don’t think anyone can save me now.,suicidal
I feel like I have no reason to live.,suicidal
Everything feels meaningless and hopeless.,suicidal
I keep imagining a world without me.,suicidal
The thought of dying feels like relief.,suicidal
I feel like I'm sinking deeper every day.,suicidal
I often wonder how it would feel to not exist.,suicidal
I feel like letting go would bring peace.,suicidal
I fantasize about escaping my pain permanently.,suicidal
The darkness in my mind is too heavy.,suicidal
I wish I could erase myself.,suicidal
I don’t think I can hold on much longer.,suicidal
I feel like I’m losing the will to live.,suicidal
Every thought leads me to the same dark place.,suicidal
I feel like life isn’t worth the struggle.,suicidal
I want the suffering to stop forever.,suicidal
The weight of life feels unbearable.,suicidal
I feel like I've reached my breaking point.,suicidal
I think about ending it all too often.,suicidal
I feel like I’ll never find peace in life.,suicidal
I don't see myself growing old.,suicidal
The only way out seems final.,suicidal
I can’t imagine facing another day.,suicidal
I feel like the pain is endless.,suicidal
I feel like death would be a release.,suicidal
I’ve lost all hope for my future.,suicidal
I imagine silence beyond the pain.,suicidal
I feel like I’m already gone inside.,suicidal
I feel like disappearing for good.,suicidal
I want all this to just stop.,suicidal
I can’t find a reason to keep going.,suicidal
I feel exhausted by life itself.,suicidal
I wish my existence could simply end.,suicidal
I’ve thought about not existing a lot.,suicidal
I feel like life has defeated me.,suicidal
I feel like I'm drowning and can't breathe.,suicidal
I wonder if anyone would notice if I were gone.,suicidal
